Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-July-2020,339.50,339.50,332.85,336.80,335.844266109717476929,616693,6484,207112808.00,306329,49.67,6.65,-2.70
13-July-2020,342.30,347.20,338.60,342.00,342.411520924094346673,885797,11347,303307098.00,444024,50.13,8.60,-0.30
10-July-2020,343.50,344.30,335.05,338.60,338.798761988764134226,629235,7705,213184039.00,96255,15.30,9.25,-4.90
9-July-2020,337.00,348.40,337.00,344.40,345.096528675473720717,951510,13348,328362798.00,206999,21.75,11.40,7.40
8-July-2020,332.20,346.20,332.20,334.20,339.814115593241473907,801950,11445,272513930.00,137533,17.15,14.00,2.00
7-July-2020,338.00,338.40,328.50,330.15,332.006790334507462211,628835,30175,208777490.00,250738,39.87,9.90,-7.85
6-July-2020,332.15,341.50,330.30,338.75,337.560151787637204353,1086518,15067,366765181.00,362186,33.33,11.20,6.60
3-July-2020,336.00,337.00,328.15,329.95,332.088003167157642825,899229,9804,298623163.00,464873,51.70,8.85,-6.05
2-July-2020,325.80,337.55,324.50,334.95,330.275449443029052263,1140634,14456,376723407.00,461751,40.48,13.05,9.15
1-July-2020,328.25,329.00,320.50,323.85,323.368334586214076732,566694,6727,183250895.00,186793,32.96,8.50,-4.40
30-June-2020,320.60,337.60,320.60,326.65,331.968629223627449323,1656988,22993,550068035.00,278159,16.79,17.00,6.05
29-June-2020,321.50,325.65,312.25,321.25,317.065345385465536908,901196,11341,285738021.00,355159,39.41,13.40,-0.25
26-June-2020,324.25,330.00,322.70,323.90,327.067430194617800098,684367,9929,223834156.00,302650,44.22,7.30,-0.35
25-June-2020,321.10,327.30,321.05,323.10,324.436146347910020559,597781,8527,193941764.00,90614,15.16,6.25,2.00
24-June-2020,336.90,338.05,324.90,326.05,332.961468921588730597,1228956,15405,409194995.00,576474,46.91,13.15,-10.85
23-June-2020,326.40,333.45,326.10,331.90,330.028583929753286693,1266166,16195,417870972.00,598130,47.24,7.35,5.50
22-June-2020,320.70,327.90,318.35,325.95,322.778604620202299039,1021557,13800,329736743.00,393517,38.52,9.55,5.25
19-June-2020,321.85,325.85,317.50,320.70,321.488234083548657687,830917,10683,267130039.00,302934,36.46,8.35,-1.15
18-June-2020,308.15,319.00,307.50,318.10,314.609385692178826469,704370,15720,221601413.00,223141,31.68,11.50,9.95
17-June-2020,308.85,314.30,305.10,308.25,310.319363170145876417,431324,6694,133848189.00,57093,13.24,9.20,-0.60
16-June-2020,313.00,322.45,301.50,308.85,312.076090234593020478,1465602,17207,457379342.00,296353,20.22,20.95,-4.15
15-June-2020,314.40,315.00,302.75,306.05,307.192428729439469083,980945,13446,301338877.00,149212,15.21,12.25,-8.35
12-June-2020,302.00,320.55,300.10,317.50,306.186994759167508220,1013007,13910,310169569.00,368436,36.37,20.45,15.50
